raw_index,true_label,source_split,umap_x,umap_y
589923,Center,Training,9.1821,19.21311
394965,Center,Training,11.519553,19.58773
724878,Center,Test,8.693539,17.901646
274162,Center,Training,10.351663,18.896873
524141,Center,Training,10.185511,19.906132
266622,Center,Training,11.369322,19.564718
161123,Center,Training,10.307289,19.994347
687416,Center,Test,8.743565,17.42348
680134,Center,Test,11.981483,19.354246
573929,Center,Training,9.796353,18.156763
590080,Center,Training,10.264299,19.271076
586829,Center,Training,10.032813,18.74152
524400,Center,Training,10.291674,19.188778
524064,Center,Training,9.833325,18.947336
405183,Center,Training,11.589249,19.457062
774434,Center,Test,8.936199,17.556957
590164,Center,Training,10.764173,19.786417
137763,Center,Training,10.344904,18.712294
589318,Center,Training,10.213646,18.952047
211915,Center,Training,11.0682125,19.646685
714028,Center,Test,8.961572,17.600674
761759,Center,Test,8.820477,17.61085
757546,Center,Test,8.735452,17.866146
641447,Center,Test,9.735969,17.905542
807352,Center,Test,9.025564,17.553726
628561,Center,Training,10.024184,18.910515
592308,Center,Training,9.709479,19.845568
589512,Center,Training,10.042412,18.382849
588429,Center,Training,9.663128,18.84808
588261,Center,Training,10.05662,19.317099
247188,Center,Training,11.370671,19.65314
631024,Center,Training,10.154641,18.971916
255142,Center,Training,11.184397,19.741476
573867,Center,Training,9.90294,17.942673
589009,Center,Training,9.966637,17.993414
589644,Center,Training,9.87855,19.49557
590004,Center,Training,9.849951,19.642813
274566,Center,Training,11.073481,19.68487
764886,Center,Test,8.762035,17.696535
629243,Center,Training,10.195481,19.972008
628903,Center,Training,10.015728,19.533087
629197,Center,Training,9.728592,19.928568
591994,Center,Training,10.128412,18.878193
394483,Center,Training,11.665909,19.572002
764688,Center,Test,8.984204,17.559343
592584,Center,Training,10.265885,19.877377
588011,Center,Training,9.854144,19.390366
760956,Center,Test,11.008619,19.634787
683399,Center,Test,12.011515,19.32148
574372,Center,Training,9.885901,19.552656
529399,Center,Training,10.1412115,19.224148
589622,Center,Training,10.178733,19.958242
591860,Center,Training,9.888765,19.609823
764438,Center,Test,8.900439,17.460518
589503,Center,Training,9.887907,18.017286
290476,Center,Training,9.521561,18.35998
211913,Center,Training,10.576767,19.248695
574377,Center,Training,9.853893,18.877338
764758,Center,Test,1.3445807,15.849849
591359,Center,Training,10.247941,19.924726
589818,Center,Training,10.016927,18.834593
